ranking_date,team_name,rank,ranking_points,rank_change
2026-07-13,Spain,1,1460,0
2026-07-13,Germany,2,1340,0
2026-07-13,Portugal,3,1245,0
2026-07-13,Brazil,4,1210,2
2026-07-13,Colombia,5,1186,-1
2026-07-13,Uruguay,6,1181,-1
2026-07-13,Argentina,7,1178,-1
2026-07-13,Switzerland,8,1161,0
2026-07-13,Italy,9,1115,0
2026-07-13,Greece,10,1082,0
2026-07-13,England,11,1043,0
2026-07-13,Belgium,12,1039,0
2026-07-13,Chile,13,1037,1
2026-07-13,USA,14,1015,-1
2026-07-13,Netherlands,15,967,0
2026-07-13,France,16,935,0
2026-07-13,Ukraine,17,913,0
2026-07-13,Russia,18,903,0
2026-07-13,Mexico,19,877,0
2026-07-13,Croatia,20,871,0
2026-07-13,Côte d'Ivoire,21,830,0
2026-07-13,Scotland,22,825,0
2026-07-13,Denmark,23,819,0
2026-07-13,Egypt,24,798,0
2026-07-13,Bosnia and Herzegovina,25,795,0
2026-07-13,Sweden,25,795,0
2026-07-13,Algeria,25,795,0
2026-07-13,Ecuador,28,794,0
2026-07-13,Slovenia,29,787,0
2026-07-13,Serbia,30,759,0
2026-07-13,Honduras,30,759,2
