source_name,canonical_name,start_date,end_date
Dahomey,Benin,1959-11-08,1975-11-30
Upper Volta,Burkina Faso,1960-04-14,1984-08-04
Netherlands Antilles,Curaçao,1957-03-03,2010-10-10
Bohemia,Czechoslovakia,1903-04-05,1919-01-01
Bohemia and Moravia,Czechoslovakia,1939-01-01,1945-05-01
Representation of Czechs and Slovaks,Czechoslovakia,1993-03-24,1993-11-17
Belgian Congo,DR Congo,1948-05-25,1956-01-02
Congo-Léopoldville,DR Congo,1963-04-12,1964-07-19
Congo-Kinshasa,DR Congo,1965-01-09,1970-11-24
Zaïre,DR Congo,1971-01-10,1997-04-27
French Somaliland,Djibouti,1947-12-05,1977-06-27
United Arab Republic,Egypt,1958-02-22,1971-09-11
Swaziland,Eswatini,1968-05-01,2018-04-19
Gold Coast,Ghana,1950-05-28,1957-03-06
Portuguese Guinea,Guinea-Bissau,1953-06-02,1973-09-24
British Guiana,Guyana,1905-07-21,1967-08-02
Dutch East Indies,Indonesia,1934-05-13,1951-03-04
Mandatory Palestine,Israel,1934-03-16,1940-04-27
Nyasaland,Malawi,1957-08-28,1964-07-04
Malaya,Malaysia,1948-06-20,1963-08-16
Burma,Myanmar,1952-03-14,1989-01-01
Macedonia,North Macedonia,1993-10-13,2018-11-19
Ireland,Northern Ireland,1882-02-18,1956-04-11
Irish Free State,Republic of Ireland,1924-05-28,1936-12-06
Éire,Republic of Ireland,1937-01-01,1953-03-25
Soviet Union,Russia,1924-11-16,1991-11-13
CIS,Russia,1992-01-25,1992-06-18
Western Samoa,Samoa,1979-08-31,1996-11-15
FR Yugoslavia,Serbia,1994-12-23,2003-02-03
Serbia and Montenegro,Serbia,2003-02-04,2006-06-21
Ceylon,Sri Lanka,1952-03-24,1972-05-22
Dutch Guyana,Suriname,1921-01-28,1975-11-25
Tanganyika,Tanzania,1945-01-01,1964-04-26
New Hebrides,Vanuatu,1951-10-04,1980-07-30
Northern Rhodesia,Zambia,1947-02-22,1964-10-25
Southern Rhodesia,Zimbabwe,1946-06-16,1980-04-18
