team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Switzerland National Team,Switzerland,2026,Switzerland,6,4,2,0,3,3,0,2,1,1,1,0,1,1.83,2.5,0.5,1,0,0,9,10,6,4,16,10,6,8,2,2,4,6,-2,54,45,90,90,180,45,2,2,0,4,2,2,1,1,0,4,3,1,28,16,12,8,5,3,54,54,55,74,37,37,30,18,12,44,19,25,87,58,29,2,1,1,1,0,1,1,1,0,2,1,1,3,3,0,1,0,1,1.5,1.5,1.5,2.67,2.5,3,1.67,2,1,1,0.5,2,0.5,0.25,1,0.33,0.25,0.5,0.17,0,0.5,5,5,3,2,1,0,3,3,2,1,1,0,2,2,1,1,0,0,1,1,3,4,5,6,1,1,2,3,3,4,0,0,1,1,2,2,83,83,50,33,17,0,75,75,50,25,25,0,100,100,50,50,0,0,17,17,50,67,83,100,25,25,50,75,75,100,0,0,50,50,100,100,3,0,0,1,0,0,2,0,0,50,0,0,25,0,0,100,0,0,50,75,0,35,33,50,0,67,50,100,17,25,0,67,75,50,5,4,1,83,100,50,4,3,1,67,75,50,0,0,0,0,0,0,33,25,50,50,75,0,17,0,50,4.67,4.00,6.00,1.33,1.25,1.50,83,83,83,67,17,17,17,0,1.51,1.22,2.10,1.30,1.18,1.53,50,1,1,0,0,2,1,1,1,3,1,0,0,0,0,0,0,1,2,33,25,50,17,0,50,0
Austria National Team,Austria,2026,Austria,4,1,3,0,1,1,0,1,0,1,2,0,2,1,3,0.33,2,0,0,30,6,9,-3,15,4,11,3,3,1,8,2,-5,60,30,90,40,90,34,0,0,0,2,1,1,2,0,2,2,1,1,10,4,6,5,1,4,45,63,39,32,11,21,8,4,4,24,7,17,47,12,35,2,1,1,3,0,3,-1,1,-2,1,1,0,1,0,1,2,0,2,1,3,0.33,3.75,4,3.67,1.5,3,1,2.25,1,2.67,1.25,1,1.33,0.5,1,0.33,0.75,0,1,4,4,3,2,1,1,1,1,1,1,0,0,3,3,2,1,1,1,0,0,1,2,3,3,0,0,0,0,1,1,0,0,1,2,2,2,100,100,75,50,25,25,100,100,100,100,0,0,100,100,67,33,33,33,0,0,25,50,75,75,0,0,0,0,100,100,0,0,33,67,67,67,4,1,0,1,0,0,3,1,0,100,25,0,100,0,0,100,33,0,25,100,0,78,0,0,0,50,100,33,50,0,67,50,100,33,1,1,0,25,100,0,2,0,2,50,0,67,1,0,1,25,0,33,25,100,0,25,0,33,50,0,67,2.50,4.00,2.00,1.25,1,1.33,50,25,25,0,0,0,0,0,0.98,1.39,0.84,1.70,1.30,1.83,0,0,0,2,0,0,1,0,1,2,0,0,0,2,2,1,1,0,3,25,0,33,50,0,67,0
Spain National Team,Spain,2026,Spain,7,4,3,0,6,3,3,1,1,0,0,0,0,2.71,2.5,3,1,0,0,2,13,1,12,14,10,4,9,4,1,0,8,4,48,40,68,643,360,0,6,3,3,1,1,0,1,1,0,6,3,3,45,31,14,6,3,3,64,68,58,120,89,31,42,33,9,78,56,22,80,41,39,7,5,2,1,1,0,6,4,2,4,2,2,3,2,1,0,0,0,2.14,2,2.33,2,2.5,1.33,1.86,2.25,1.33,0.14,0.25,0,1.14,1.5,0.67,1,1.25,0.67,0.14,0.25,0,6,4,3,1,0,0,3,3,3,1,0,0,3,1,0,0,0,0,1,3,4,6,7,7,1,1,1,3,4,4,0,2,3,3,3,3,86,57,43,14,0,0,75,75,75,25,0,0,100,33,0,0,0,0,14,43,57,86,100,100,25,25,25,75,100,100,0,67,100,100,100,100,5,2,1,3,2,1,2,0,0,71,29,14,75,50,25,67,0,0,86,75,100,-29,86,75,100,14,25,0,14,25,0,86,75,100,6,3,3,86,75,100,2,1,1,29,25,33,1,1,0,14,25,0,57,50,67,43,50,33,0,0,0,6.43,7.75,4.67,0.86,0.75,1.00,86,56,43,28,14,14,0,0,2.02,2.68,1.14,0.72,0.53,0.98,29,1,0,4,1,2,1,1,0,3,0,0,0,0,1,0,0,0,0,14,25,0,0,0,0,0
Portugal National Team,Portugal,2026,Portugal,5,4,1,0,2,2,0,2,1,1,1,1,0,1.6,1.75,1,2,0,0,13,8,3,5,11,11,0,8,0,3,0,5,0,56,45,0,150,120,0,2,1,1,2,2,0,2,1,1,2,2,0,22,20,2,7,7,0,58,62,45,62,49,13,17,15,2,45,34,11,44,38,6,4,4,0,1,1,0,3,3,0,1,1,0,4,3,1,0,0,0,1.4,1.5,1,2.2,2.75,0,1.6,2,0,0.6,0.75,0,1,1.25,0,0.8,1,0,0.2,0.25,0,4,3,2,1,1,0,4,3,2,1,1,0,0,0,0,0,0,0,1,2,3,4,4,5,0,1,2,3,3,4,1,1,1,1,1,1,80,60,40,20,20,0,100,75,50,25,25,0,0,0,0,0,0,0,20,40,60,80,80,100,0,25,50,75,75,100,100,100,100,100,100,100,2,2,1,2,2,1,0,0,0,40,40,20,50,50,25,0,0,0,40,50,0,0,40,25,100,40,50,0,40,25,100,40,50,0,4,3,1,80,75,100,3,2,1,60,50,100,1,1,0,20,25,0,20,25,0,80,75,100,0,0,0,4.40,5.00,2.00,1.4,1.75,0.00,80,60,60,40,20,20,20,20,1.40,1.44,1.24,1.45,1.21,2.40,0,2,1,0,1,0,1,1,0,2,0,0,0,0,1,1,0,0,1,40,25,100,20,25,0,0
Norway National Team,Norway,2026,Norway,6,3,3,0,4,1,3,0,0,0,2,2,0,2,1,3,2,0,0,6,13,11,2,24,13,11,5,8,8,3,-3,5,41,54,34,49,34,90,0,0,0,6,3,3,0,0,0,5,2,3,29,16,13,3,2,1,52,44,60,66,36,30,29,15,14,37,21,16,58,32,26,6,3,3,5,4,1,1,-1,2,3,1,2,2,1,1,1,1,0,1.83,1.33,2.33,4,4.33,3.67,2.17,1.67,2.67,1.83,2.67,1,1.83,2.33,1.33,1,1,1,0.83,1.33,0.33,6,6,6,3,3,0,3,3,3,2,2,0,3,3,3,1,1,0,0,0,0,3,3,6,0,0,0,1,1,3,0,0,0,2,2,3,100,100,100,50,50,0,100,100,100,67,67,0,100,100,100,33,33,0,0,0,0,50,50,100,0,0,0,33,33,100,0,0,0,67,67,100,5,3,2,3,2,1,2,1,1,83,50,33,100,67,33,67,33,33,67,33,100,-35,0,0,0,100,100,100,0,0,0,83,67,100,3,1,2,50,33,67,1,0,1,17,0,33,3,2,1,50,67,33,50,33,67,33,33,33,17,33,0,4.83,5.33,4.33,0.5,0.67,0.33,100,83,83,50,33,17,17,17,1.39,1.43,1.36,1.68,1.95,1.42,117,0,0,2,2,3,1,0,2,3,1,1,0,2,1,1,0,1,3,0,0,0,33,67,0,17
Germany National Team,Germany,2026,Germany,4,3,1,0,2,2,0,1,1,0,1,0,1,1.75,2.33,0,1,0,0,16,11,5,6,16,13,3,10,1,3,2,7,-1,33,27,90,72,90,45,0,0,0,4,3,1,0,0,0,2,1,1,34,32,2,3,2,1,66,67,61,74,63,11,28,25,3,46,38,8,51,41,10,4,3,1,4,3,1,0,0,0,1,1,0,1,0,1,2,2,0,1,1,1,4,4.33,3,2.75,3.33,1,1.25,1,2,2,2,2,1,1,1,1,1,1,4,4,3,1,1,1,3,3,2,1,1,1,1,1,1,0,0,0,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,75,25,25,25,100,100,67,33,33,33,100,100,100,0,0,0,0,0,25,75,75,75,0,0,33,67,67,67,0,0,0,100,100,100,4,2,1,3,1,1,1,1,0,100,50,25,100,33,33,100,100,0,50,67,0,21,0,0,0,100,100,100,0,0,0,50,33,100,0,0,0,0,0,0,2,2,0,50,67,0,2,1,1,50,33,100,25,33,0,25,0,100,50,67,0,8.50,10.67,2.00,0.75,0.67,1.00,75,75,75,50,50,25,25,25,2.29,2.61,1.32,0.95,0.94,0.95,150,2,0,0,1,2,1,2,1,2,1,0,2,0,1,0,0,1,0,25,33,0,25,0,100,25
England National Team,England,2026,England,7,4,3,0,5,2,3,1,1,0,1,1,0,2.29,1.75,3,1,0,0,4,14,8,6,22,12,10,7,7,5,3,2,4,45,51,39,79,72,90,2,1,1,5,3,2,1,1,0,4,2,2,36,23,13,10,3,7,54,57,51,99,62,37,42,23,19,57,39,18,73,45,28,5,2,3,5,3,2,0,-1,1,1,0,1,5,3,2,1,1,0,1.14,0.75,1.67,3.14,3,3.33,2,1.75,2.33,1.14,1.25,1,1.43,1.25,1.67,0.71,0.5,1,0.71,0.75,0.67,6,6,5,2,2,1,3,3,3,1,1,1,3,3,2,1,1,0,1,1,2,5,5,6,1,1,1,3,3,3,0,0,1,2,2,3,86,86,71,29,29,14,75,75,75,25,25,25,100,100,67,33,33,0,14,14,29,71,71,86,25,25,25,75,75,75,0,0,33,67,67,100,4,3,2,2,1,1,2,2,1,57,43,29,50,25,25,67,67,33,71,50,100,-12,29,25,33,71,75,67,14,25,0,57,50,67,3,2,1,43,50,33,4,3,1,57,75,33,3,1,2,43,25,67,14,0,33,71,75,67,14,25,0,5.14,5.75,4.33,1.43,0.75,2.33,100,86,71,71,43,14,14,14,1.72,1.82,1.59,1.28,1.03,1.62,129,0,1,0,2,3,2,2,1,2,1,0,0,2,2,0,1,0,2,14,25,0,14,25,0,0
Belgium National Team,Belgium,2026,Belgium,6,3,3,0,3,1,2,2,2,0,1,0,1,1.83,1.67,2,1,0,0,10,14,7,7,21,7,14,4,10,3,4,1,6,39,68,27,77,90,68,1,1,0,5,2,3,1,1,0,2,0,2,24,10,14,8,6,2,51,59,43,112,57,55,34,15,19,78,42,36,78,44,34,4,0,4,4,2,2,0,-2,2,2,0,2,2,1,1,2,2,0,1.33,0.33,2.33,3.5,2.33,4.67,2.33,1.33,3.33,1.17,1,1.33,1.33,0.67,2,0.67,0,1.33,0.67,0.67,0.67,5,5,4,3,3,1,2,2,1,1,1,0,3,3,3,2,2,1,1,1,2,3,3,5,1,1,2,2,2,3,0,0,0,1,1,2,83,83,67,50,50,17,67,67,33,33,33,0,100,100,100,67,67,33,17,17,33,50,50,83,33,33,67,67,67,100,0,0,0,33,33,67,5,2,1,2,0,0,3,2,1,83,33,17,67,0,0,100,67,33,50,33,67,-14,17,33,0,83,67,100,17,33,0,33,0,67,2,1,1,33,33,33,3,3,0,50,100,0,2,0,2,33,0,67,33,0,67,33,33,33,33,67,0,4.00,3.33,4.67,1.33,2,0.67,50,50,33,17,17,17,17,0,2.01,2.11,1.90,1.36,1.42,1.31,117,1,0,1,1,2,1,2,0,5,0,1,2,1,0,1,0,0,2,33,67,0,17,0,33,0
Netherlands National Team,Netherlands,2026,Netherlands,4,3,1,0,2,1,1,2,2,0,0,0,0,2,1.67,3,1,0,0,14,11,5,6,16,12,4,8,3,4,1,4,2,33,34,30,72,68,90,0,0,0,4,3,1,0,0,0,4,3,1,18,12,6,3,3,0,53,47,71,46,26,20,22,15,7,24,11,13,44,34,10,4,2,2,0,0,0,4,2,2,2,1,1,2,2,0,0,0,0,2,1.67,3,4,4,4,2.75,2.67,3,1.25,1.33,1,1,0.67,2,1,0.67,2,0,0,0,4,4,3,3,1,1,3,3,2,2,1,1,1,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2,0,0,0,0,1,1,100,100,75,75,25,25,100,100,67,67,33,33,100,100,100,100,0,0,0,0,25,25,75,75,0,0,33,33,67,67,0,0,0,0,100,100,2,2,0,1,1,0,1,1,0,50,50,0,33,33,0,100,100,0,50,33,100,-5,0,0,0,100,100,100,0,0,0,100,100,100,4,3,1,100,100,100,2,2,0,50,67,0,0,0,0,0,0,0,50,33,100,50,67,0,0,0,0,4.50,4.00,6.00,0.75,1,0.00,100,75,75,50,25,25,25,0,1.53,1.26,2.35,1.39,1.49,1.08,125,3,1,0,0,1,2,2,1,1,0,0,0,0,0,3,0,0,2,50,67,0,0,0,0,0
France National Team,France,2026,France,7,5,2,0,6,4,2,0,0,0,1,1,0,2.57,2.4,3,1,0,0,3,16,4,12,20,14,6,11,5,3,1,8,4,39,41,36,158,150,180,4,3,1,2,1,1,1,1,0,6,4,2,48,31,17,6,2,4,57,53,67,120,87,33,50,36,14,70,51,19,70,48,22,5,2,3,2,1,1,3,1,2,3,2,1,3,2,1,1,1,0,1.71,1.6,2,2.86,2.8,3,2.29,2.2,2.5,0.57,0.6,0.5,1,0.6,2,0.71,0.4,1.5,0.29,0.2,0.5,7,6,4,2,1,0,5,5,3,1,0,0,2,1,1,1,1,0,0,1,3,5,6,7,0,0,2,4,5,5,0,1,1,1,1,2,100,86,57,29,14,0,100,100,60,20,0,0,100,50,50,50,50,0,0,14,43,71,86,100,0,0,40,80,100,100,0,50,50,50,50,100,4,1,1,3,0,0,1,1,1,57,14,14,60,0,0,50,50,50,86,80,100,-5,57,60,50,29,20,50,14,20,0,86,80,100,5,4,1,71,80,50,4,3,1,57,60,50,1,0,1,14,0,50,43,40,50,43,40,50,14,20,0,6.86,6.20,8.50,0.86,0.4,2.00,86,86,71,56,14,14,14,14,2.04,2.03,2.06,0.77,0.75,0.83,57,1,2,0,1,1,3,4,1,3,0,0,2,0,0,1,0,0,1,0,0,0,14,20,0,0
